neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,reviews_per_month,calculated_host_listings_count,availability_365
1,45,40.64354,-73.97777,0,89,3,62,0.71,1,189
2,42,40.76116,-73.99016,1,120,2,17,0.43,1,0
2,29,40.70763,-74.0105,0,470,2,5,1.88,327,272
2,25,40.79658,-73.93287,0,199,2,30,0.8,1,30
1,83,40.70698,-73.95406,0,170,1,141,3.05,1,28
1,83,40.71246,-73.96133,1,90,5,1,0.06,1,0
2,66,40.72214,-73.99793,0,150,2,89,1.94,1,55
0,75,40.81437,-73.82774,0,74,2,37,2.63,4,70
3,44,40.75078,-73.87949,2,28,1,4,2.11,4,354
2,27,40.72478,-73.97771,0,230,3,12,0.21,1,4
1,17,40.69353,-73.96784,1,48,1,2,0.05,1,0
1,34,40.68816,-73.97579,0,100,14,5,0.21,1,0
2,38,40.73267,-73.98259,1,100,3,1,0.03,1,0
1,5,40.69091,-73.94514,0,115,30,4,2.35,1,133
2,66,40.72635,-74.00298,1,94,1,1,0.04,1,0
1,40,40.72488,-73.94932,0,124,1,6,0.5,1,6
0,6,40.85505,-73.89238,1,40,2,28,6.72,1,84
2,41,40.80489,-73.95759,0,115,1,1,0.02,1,0
1,83,40.71471,-73.94045,0,250,1,87,1.23,1,272
2,82,40.72953,-74.00462,0,145,7,11,0.12,1,0
1,7,40.60951,-73.97642,2,79,1,15,0.43,6,180
1,83,40.70907,-73.96396,1,60,1,33,2.75,1,19
2,41,40.81798,-73.94157,1,40,30,2,0.38,103,246
2,27,40.72503,-73.97696,1,70,2,5,0.14,1,0
3,0,40.59399,-73.79693,0,300,1,67,1.34,1,344
1,40,40.7254,-73.94136,0,129,30,3,0.05,52,336
2,27,40.7282,-73.98001,1,75,1,159,4.34,1,84
1,60,40.67635,-73.97113,0,124,2,9,0.39,1,0
1,83,40.71279,-73.96291,1,80,2,6,0.16,1,0
2,81,40.84393,-73.93979,0,100,5,11,0.47,1,22
2,50,40.72207,-73.98726,0,99,1,11,1.46,1,0
2,25,40.81213,-73.93752,0,95,3,16,4.07,1,0
2,41,40.81829,-73.94686,0,175,2,34,0.98,1,75
1,12,40.70126,-73.92077,1,55,35,2,0.3,17,365
2,79,40.77605,-73.98833,0,190,30,4,0.63,25,363
2,41,40.80172,-73.95538,1,100,1,226,7.75,2,32
2,56,40.72244,-73.99461,0,250,1,9,0.75,1,0
2,50,40.7177,-73.98245,1,77,5,20,0.84,1,0
2,29,40.70436,-74.00927,0,500,5,16,3.78,1,298
2,41,40.81162,-73.95046,0,100,1,5,0.13,1,0
2,52,40.75349,-73.96545,1,160,2,107,5.73,1,49
2,42,40.75611,-73.99386,0,130,4,2,0.52,2,0
1,59,40.6688,-73.97865,1,139,1,184,3.86,4,0
2,42,40.76506,-73.98567,1,70,3,6,0.41,6,225
2,42,40.75925,-73.99375,0,225,1,63,4.83,1,357
2,74,40.76095,-73.98668,1,150,2,3,0.08,1,0
1,12,40.69414,-73.92477,0,98,2,7,3.33,1,4
1,37,40.66933,-73.99158,0,125,3,70,3.38,1,99
3,48,40.75595,-73.93075,1,130,7,1,0.06,2,34
1,12,40.68865,-73.9081,0,145,4,40,2.8,1,38
1,12,40.70537,-73.91587,1,47,1,17,0.97,1,0
2,41,40.82349,-73.94193,1,80,3,3,0.05,2,178
1,30,40.64107,-73.95325,1,50,4,3,0.08,2,0
2,15,40.75041,-73.99489,0,300,1,2,0.05,1,0
3,1,40.75537,-73.91648,1,46,4,70,0.93,2,173
1,62,40.67627,-74.00625,1,99,1,58,1.15,1,88
1,20,40.6725,-73.93981,0,98,3,128,3.1,1,342
1,62,40.67798,-74.00787,0,145,1,11,0.49,2,333
1,5,40.68875,-73.92377,1,38,2,39,0.86,3,99
1,17,40.6837,-73.96505,0,125,5,1,0.02,1,0
1,7,40.61576,-73.99166,1,125,2,4,0.07,2,0
3,23,40.7698,-73.87183,0,150,1,29,3.32,1,360
1,12,40.70433,-73.92652,1,55,3,6,0.14,1,0
2,50,40.71975,-73.98608,0,225,1,2,0.06,1,0
1,59,40.67225,-73.97357,0,160,5,16,0.4,1,11
2,27,40.72354,-73.98295,0,195,3,30,0.28,1,248
3,33,40.73437,-73.8502,0,278,3,9,0.39,6,0
3,32,40.76818,-73.8276,0,188,1,85,3.52,1,151
1,59,40.68326,-73.97796,0,600,6,7,0.36,1,42
1,5,40.68928,-73.95541,1,70,1,53,3.29,7,264
2,82,40.73429,-74.00487,0,150,3,6,0.52,1,0
2,78,40.7806,-73.95178,0,155,21,9,0.28,1,0
1,18,40.68834,-73.9989,0,170,2,5,2.31,1,43
1,40,40.73262,-73.95209,0,100,1,2,0.05,1,0
3,21,40.7787,-73.9093,0,100,4,2,0.19,1,26
2,15,40.7429,-73.99344,1,125,1,1,0.03,1,0
2,41,40.8285,-73.94889,1,87,1,2,0.23,3,332
1,20,40.67525,-73.93333,1,52,2,123,4.01,4,332
2,25,40.79952,-73.93764,0,240,3,4,0.17,1,7
2,41,40.82361,-73.93926,0,102,1,17,2.14,1,75
2,81,40.83998,-73.94295,1,70,1,88,3.66,1,0
1,5,40.6824,-73.93045,0,125,3,80,5.41,1,269
1,13,40.6424,-73.91275,0,125,2,172,4.01,2,155
2,79,40.77799,-73.98205,0,220,1,2,0.05,1,0
2,41,40.81663,-73.95315,1,55,2,71,1.34,3,0
2,38,40.73158,-73.98303,1,120,4,132,1.62,1,267
3,72,40.74174,-73.90817,0,179,1,1,1.0,1,321
1,17,40.6867,-73.9612,1,59,4,6,0.87,2,156
1,73,40.66273,-73.99111,0,100,4,25,1.11,1,0
1,5,40.68898,-73.94139,1,50,10,1,0.77,1,246
2,52,40.75175,-73.98499,0,295,28,4,0.51,1,147
3,48,40.75314,-73.93644,1,89,1,9,4.5,10,357
1,12,40.70447,-73.92589,1,70,4,2,0.14,1,363
1,5,40.68988,-73.95936,0,282,1,1,1.0,6,342
2,27,40.72987,-73.98283,1,100,3,3,0.14,1,0
1,12,40.70171,-73.91344,1,60,1,155,3.39,2,170
3,85,40.74505,-73.89995,1,80,2,11,0.45,1,10
1,34,40.69634,-73.97296,1,70,1,152,3.02,1,249
0,54,40.80772,-73.91791,1,53,1,321,5.46,1,44
0,49,40.81937,-73.90978,1,45,2,68,1.83,1,156
1,5,40.69512,-73.94978,1,75,2,55,1.95,1,0
1,83,40.71948,-73.96376,0,150,30,1,0.42,1,160
1,9,40.5776,-73.96231,2,30,1,1,1.0,2,364
1,24,40.63205,-73.94587,0,90,1,5,0.08,1,361
3,33,40.72223,-73.84647,1,37,1,1,0.16,1,249
3,61,40.71846,-73.75584,0,75,5,85,1.9,1,332
1,12,40.69835,-73.91644,1,50,2,57,2.68,3,18
1,83,40.70217,-73.93737,1,60,4,3,0.09,2,25
2,41,40.82088,-73.95628,1,50,2,12,0.31,2,0
1,9,40.57762,-73.96051,0,99,2,2,0.19,1,0
1,35,40.62067,-74.02942,0,150,5,4,1.9,3,312
2,79,40.78584,-73.97342,0,350,5,31,1.54,1,166
2,41,40.82287,-73.9518,1,38,7,2,0.06,1,0
3,21,40.7802,-73.90913,0,150,7,1,0.02,1,0
1,5,40.69924,-73.94057,1,42,7,6,0.1,1,0
1,5,40.68869,-73.93449,1,35,20,1,0.08,1,0
1,12,40.6944,-73.9242,0,90,3,26,2.43,1,3
1,12,40.69349,-73.91109,1,50,1,9,0.92,1,179
1,31,40.62841,-73.92591,1,130,4,3,0.07,5,364
1,83,40.71463,-73.96474,0,250,2,53,1.68,1,2
2,41,40.80762,-73.94446,1,50,30,5,0.16,6,151
2,42,40.76106,-73.99148,1,95,1,23,0.66,2,0
3,63,40.73243,-73.86773,0,275,30,9,0.14,1,342
1,5,40.67927,-73.94758,1,88,4,1,0.05,1,0
2,41,40.80832,-73.95275,1,115,2,93,3.92,1,129
2,27,40.72842,-73.98679,1,140,4,11,0.42,1,0
2,41,40.81143,-73.94935,0,100,3,16,0.66,1,0
2,79,40.78357,-73.97268,0,121,7,76,1.11,1,151
2,29,40.70558,-74.00845,0,175,29,1,0.45,96,290
1,5,40.67984,-73.95044,0,120,11,8,0.42,1,189
2,56,40.7234,-73.99439,0,269,28,81,0.93,1,122
1,80,40.70149,-73.98091,1,69,5,5,0.22,1,166
1,37,40.66938,-73.99164,1,95,1,4,0.93,2,59
3,33,40.72761,-73.84109,1,83,1,25,1.35,2,361
2,42,40.76309,-73.99214,0,130,30,7,0.34,20,311
1,40,40.73046,-73.95706,0,165,3,8,0.22,1,0
1,12,40.70751,-73.92058,0,130,5,9,0.18,1,0
2,50,40.71713,-73.98906,1,65,1,14,0.35,1,0
2,79,40.80347,-73.96607,1,38,3,1,0.03,1,0
1,35,40.61707,-74.03473,0,110,1,1,0.03,1,0
1,40,40.72897,-73.95132,1,152,5,13,0.17,1,241
2,15,40.74862,-74.00237,0,150,2,1,0.41,1,0
3,1,40.76799,-73.90995,1,65,1,6,1.96,1,31
2,79,40.78641,-73.97739,1,65,1,2,0.05,1,0
4,76,40.6326,-74.09099,0,199,1,36,2.51,3,171
1,40,40.72188,-73.94355,1,150,3,8,0.48,1,27
1,20,40.66847,-73.94875,0,125,5,1,0.02,1,0
1,83,40.71681,-73.96296,1,69,2,10,0.34,1,0
2,52,40.75181,-73.97137,0,339,3,34,2.26,12,0
1,5,40.68644,-73.93967,0,150,1,50,2.96,1,335
1,26,40.67563,-73.87866,0,86,1,154,9.53,2,311
1,26,40.67111,-73.87083,0,160,2,22,2.38,1,48
2,78,40.77038,-73.95273,1,105,5,2,0.14,2,342
1,40,40.72521,-73.95575,1,67,2,103,2.94,2,126
1,68,40.66724,-73.99023,1,109,2,4,0.21,1,0
1,60,40.68162,-73.96818,0,149,2,8,1.0,1,0
2,55,40.74835,-73.97612,0,244,2,9,2.31,327,133
2,42,40.75989,-73.98832,0,70,2,112,2.97,1,11
3,69,40.66272,-73.76849,0,89,1,88,12.05,2,253
1,3,40.63093,-74.02363,0,175,1,27,3.07,1,276
2,16,40.71353,-73.99632,1,115,2,18,0.74,1,0
1,5,40.68506,-73.93867,1,36,2,6,0.13,2,0
1,2,40.60319,-73.99591,0,150,1,13,1.54,1,0
4,19,40.60307,-74.08441,0,100,1,25,5.64,1,72
1,34,40.68854,-73.97789,0,85,2,4,0.13,1,0
1,12,40.69993,-73.92504,1,90,2,6,0.15,1,358
2,41,40.81151,-73.94159,1,57,2,1,1.0,1,34
2,78,40.76841,-73.95402,0,180,2,23,2.04,1,2
2,41,40.82434,-73.95066,0,200,3,14,0.73,2,0
1,83,40.71247,-73.94548,1,70,1,2,0.18,1,0
1,73,40.66064,-73.99888,1,40,1,4,2.14,2,250
2,29,40.70615,-74.01243,1,262,2,6,1.59,327,328
1,83,40.71197,-73.95804,0,175,4,5,0.32,1,0
2,66,40.72098,-73.99869,0,145,30,12,0.17,1,342
2,42,40.76799,-73.98644,1,61,12,31,0.6,4,102
1,20,40.67163,-73.93399,1,31,30,7,0.36,1,302
2,65,40.76046,-73.95125,1,79,2,3,0.07,1,0
2,78,40.77219,-73.95073,0,199,1,29,0.42,5,339
1,40,40.72185,-73.93956,1,46,4,86,0.89,3,350
2,66,40.72634,-74.00101,0,180,3,6,0.14,1,0
1,84,40.64801,-73.97391,0,350,3,2,0.16,1,0
2,15,40.73918,-73.99753,0,180,6,5,0.56,1,0
2,81,40.84899,-73.94018,1,40,1,2,0.05,1,0
1,18,40.6858,-73.99977,0,350,30,2,0.09,1,156
2,47,40.71909,-73.99731,1,70,5,3,0.17,2,42
1,83,40.71292,-73.96215,1,90,1,46,1.04,3,16
1,12,40.6957,-73.91875,1,49,25,61,1.96,1,0
1,24,40.65367,-73.94872,1,45,27,6,0.19,1,94
1,26,40.66522,-73.88686,1,50,1,20,2.82,5,62
2,46,40.74088,-73.98285,2,65,1,8,0.17,1,0
3,28,40.74524,-73.8876,0,100,60,2,0.17,1,132
2,41,40.81061,-73.95125,0,150,2,12,0.8,1,0
1,12,40.6971,-73.92046,0,120,2,56,1.11,1,314
1,68,40.66388,-73.98587,0,120,1,5,0.12,1,0
1,83,40.7082,-73.94476,1,47,1,5,0.74,1,4
2,41,40.81588,-73.94591,1,65,3,1,0.02,2,0
1,20,40.67054,-73.95668,1,45,2,1,0.03,1,0
1,12,40.70117,-73.91755,1,60,1,2,1.67,1,0
3,1,40.7576,-73.9067,0,70,1,1,0.02,1,0
1,5,40.6874,-73.95036,1,65,2,32,2.89,1,37
3,64,40.70005,-73.8952,0,70,1,5,0.21,1,0
1,14,40.68133,-73.99944,1,80,2,20,5.5,2,154
2,25,40.80189,-73.94483,0,130,3,3,0.21,1,128
1,5,40.69657,-73.94235,1,50,5,62,3.58,1,12
1,45,40.6451,-73.97064,1,95,3,19,1.61,1,85
1,5,40.68697,-73.95141,1,95,3,2,0.17,1,38
2,16,40.71479,-73.99971,1,88,1,1,0.04,1,0
0,58,40.86853,-73.88301,0,120,10,7,0.2,1,327
2,27,40.72957,-73.9882,0,129,7,12,0.88,2,9
3,23,40.77063,-73.87543,1,45,1,222,10.39,1,164
3,63,40.72799,-73.85543,1,70,2,175,3.45,2,349
2,52,40.7509,-73.96963,0,250,5,2,0.04,1,0
2,15,40.75028,-73.99533,0,96,115,45,0.63,19,210
1,83,40.70821,-73.95001,1,90,2,24,0.65,3,0
2,46,40.74123,-73.98058,1,94,1,23,5.9,3,55
4,39,40.57974,-74.10989,1,30,7,1,1.0,2,188
2,41,40.81561,-73.95264,1,89,1,203,3.89,2,162
1,8,40.68873,-73.98929,0,220,30,2,2.0,2,82
3,48,40.75874,-73.92999,1,100,29,37,0.57,1,305
3,36,40.70202,-73.89044,0,114,3,9,1.53,1,3
1,12,40.69013,-73.91177,1,65,1,1,1.0,1,88
1,5,40.6845,-73.93968,0,102,1,10,0.18,1,4
2,25,40.79851,-73.94399,0,80,10,9,0.1,1,0
2,52,40.75607,-73.96768,0,325,4,4,2.79,1,157
2,27,40.72315,-73.98251,0,220,2,48,1.21,1,135
2,74,40.76179,-73.98399,1,100,1,1,1.0,15,351
2,25,40.79771,-73.94833,1,145,2,75,3.07,1,59
2,42,40.76246,-73.99913,0,150,1,21,0.67,1,0
2,53,40.80897,-73.95651,0,120,14,5,0.21,1,79
2,41,40.82153,-73.95512,1,52,3,163,2.17,2,0
1,83,40.717,-73.96183,0,145,1,61,1.74,1,11
2,50,40.72147,-73.99181,0,170,30,4,0.3,9,281
3,21,40.77556,-73.90866,1,60,3,6,0.84,1,43
1,45,40.64293,-73.98043,1,56,1,58,2.48,11,16
2,41,40.80266,-73.95792,0,122,1,41,1.13,1,8
2,27,40.73082,-73.98693,0,160,2,44,0.64,2,0
3,1,40.76086,-73.92604,0,85,3,25,0.55,1,0
2,52,40.75528,-73.98312,1,135,4,37,1.53,3,155
3,32,40.75612,-73.82517,1,55,2,31,0.53,2,282
3,70,40.68692,-73.76832,1,65,2,74,2.16,5,174
1,5,40.6812,-73.91148,1,50,1,102,4.14,6,237
1,84,40.65895,-73.97768,0,78,5,1,0.02,1,0
1,5,40.6853,-73.95758,2,45,2,10,0.29,3,311
2,41,40.81956,-73.95277,2,25,3,61,2.99,2,7
2,41,40.80256,-73.95581,1,100,2,11,1.18,2,90
2,79,40.80365,-73.96639,1,70,30,3,0.24,4,317
1,14,40.68216,-73.99504,0,130,5,2,0.04,1,0
2,41,40.81561,-73.94823,1,99,1,1,1.0,1,256
2,41,40.80393,-73.95205,0,344,2,9,0.75,4,25
3,51,40.71827,-73.90647,0,80,2,61,3.13,1,32
1,34,40.68562,-73.9693,0,165,10,36,0.63,4,328
1,5,40.68616,-73.92514,1,45,4,30,0.77,1,286
1,34,40.69492,-73.97061,0,160,3,4,0.07,1,0
1,12,40.70279,-73.9289,1,31,7,2,0.06,1,89
3,1,40.76266,-73.91451,0,150,1,89,1.32,1,148
2,42,40.76404,-73.9926,1,175,2,120,3.3,2,308
2,81,40.84114,-73.93639,1,69,5,33,1.17,3,1
1,73,40.65683,-73.99959,0,90,2,41,2.75,1,0
2,78,40.78237,-73.95226,1,95,2,35,2.58,1,180
4,71,40.63464,-74.07842,1,55,1,13,0.48,3,362
1,30,40.65272,-73.96127,1,65,3,28,1.09,3,298
2,66,40.72528,-74.00317,0,200,3,16,0.6,1,15
3,33,40.72391,-73.84407,0,168,3,133,2.64,2,336
3,44,40.7489,-73.87549,1,50,2,20,4.69,1,167
2,29,40.70892,-74.01325,0,130,14,1,0.02,1,0
3,1,40.76235,-73.92138,0,140,2,16,4.21,2,79
2,25,40.80203,-73.93885,2,60,1,17,1.48,1,0
2,27,40.7288,-73.98058,0,200,2,6,0.95,1,7
2,42,40.76537,-73.98855,1,120,2,32,1.25,3,90
2,79,40.78558,-73.9726,1,140,1,176,1.89,1,300
2,52,40.75341,-73.98504,0,422,5,58,2.6,1,339
1,83,40.70412,-73.93555,1,69,14,1,0.02,2,0
1,83,40.70706,-73.95071,0,131,4,68,1.06,1,5
3,64,40.70605,-73.89928,1,48,2,6,0.17,1,0
1,45,40.64557,-73.98097,0,100,1,2,0.43,1,268
1,5,40.67851,-73.93071,0,300,1,1,0.12,14,53
3,1,40.75959,-73.92439,0,100,1,2,0.04,1,0
1,12,40.69432,-73.90658,0,150,2,17,1.15,3,0
1,45,40.64109,-73.97503,1,50,1,1,0.06,1,0
2,41,40.80697,-73.95203,1,85,3,100,1.6,3,341
4,67,40.59164,-74.08197,1,55,1,10,7.14,1,363
1,83,40.72091,-73.96124,0,90,3,166,2.21,1,104
2,46,40.7447,-73.97593,2,49,2,23,0.61,2,0
2,46,40.73833,-73.98186,0,195,30,139,1.59,4,325
2,79,40.78322,-73.97435,0,180,1,2,0.04,1,0
2,52,40.74573,-73.98323,1,90,3,6,0.55,1,70
2,79,40.78825,-73.97231,0,115,5,5,0.16,1,0
1,59,40.66617,-73.97593,0,230,2,7,0.15,1,0
2,50,40.71946,-73.98935,0,900,1,2,0.18,1,0
1,83,40.70485,-73.94472,1,100,1,3,0.08,2,0
1,40,40.72402,-73.9415,0,149,5,2,0.04,1,0
1,17,40.68153,-73.9605,1,149,2,5,0.22,1,0
2,27,40.72935,-73.98441,1,100,1,10,1.15,2,90
1,5,40.68443,-73.93167,0,190,2,5,2.94,1,86
1,83,40.71778,-73.95503,0,120,4,7,0.24,1,0
2,82,40.7334,-74.00546,0,229,2,3,0.09,1,67
1,83,40.71136,-73.9562,0,215,2,8,0.6,1,77
1,5,40.68552,-73.93581,0,110,4,15,0.31,1,97
3,1,40.77091,-73.91875,1,40,2,36,0.96,2,0
2,79,40.78353,-73.97802,1,45,30,4,0.36,3,242
1,20,40.66593,-73.95535,1,45,8,3,0.12,1,0
1,13,40.64351,-73.91406,1,89,1,9,0.38,4,334
3,69,40.68203,-73.75437,1,60,1,305,9.83,2,341
2,50,40.72105,-73.98519,0,300,2,65,0.96,1,350
1,5,40.68273,-73.91651,0,150,3,28,2.04,1,316
1,5,40.68641,-73.94735,1,52,2,29,0.5,4,335
1,14,40.68244,-73.99539,0,100,3,15,0.27,1,0
2,78,40.77919,-73.95182,0,150,31,7,0.96,33,338
1,83,40.71181,-73.95736,0,118,30,29,0.52,1,295
3,28,40.73885,-73.87553,1,33,29,2,0.71,7,1
2,25,40.80046,-73.94239,2,65,1,2,2.0,2,64
2,81,40.84957,-73.93959,1,50,3,6,0.13,1,0
1,83,40.70244,-73.94421,1,44,1,8,0.23,1,357
3,72,40.746,-73.91393,0,160,2,1,0.43,1,310
2,43,40.86866,-73.92472,1,149,1,30,2.2,2,270
1,12,40.69699,-73.91531,1,60,2,8,0.43,1,0
2,42,40.76612,-73.98749,2,75,1,4,2.35,6,365
1,84,40.65853,-73.98301,0,175,2,54,3.56,1,135
2,41,40.82885,-73.9412,1,62,1,1,0.47,3,72
2,41,40.81616,-73.93885,1,74,2,3,0.08,2,363
1,83,40.70614,-73.9487,0,199,2,1,0.03,1,0
2,42,40.76738,-73.98565,1,61,30,2,0.07,4,121
1,5,40.68642,-73.9344,2,25,5,76,1.22,3,258
3,72,40.7467,-73.92076,1,80,1,34,2.49,5,262
2,27,40.72412,-73.97911,0,140,5,1,0.04,1,0
2,50,40.71788,-73.98975,0,300,1,45,0.62,1,111
1,20,40.67616,-73.9404,1,59,1,2,0.29,1,0
1,12,40.69982,-73.91957,0,139,3,106,1.42,1,248
3,85,40.74323,-73.90471,1,33,37,1,0.15,37,39
1,11,40.69441,-73.99771,0,200,3,80,0.85,2,106
2,77,40.71953,-74.00401,0,490,14,14,0.81,4,365
1,45,40.64463,-73.97057,0,95,7,5,0.12,1,59
2,15,40.74712,-73.99514,1,109,3,26,0.36,2,18
2,41,40.80297,-73.9505,0,99,28,76,2.16,2,296
2,15,40.73942,-74.00009,2,50,1,61,0.71,2,0
1,40,40.72034,-73.95478,0,135,2,18,0.42,1,0
2,41,40.81767,-73.93771,0,120,4,21,1.25,1,128
1,5,40.68154,-73.9534,1,69,2,6,0.25,1,0
1,5,40.68548,-73.93805,0,96,1,50,4.37,2,257
2,41,40.82167,-73.95006,0,210,5,2,0.11,3,88
2,52,40.7431,-73.98233,0,1000,2,6,5.29,1,231
1,5,40.68353,-73.94877,0,199,2,74,1.84,1,231
1,14,40.6755,-73.99806,1,100,2,35,2.75,1,0
3,64,40.70372,-73.9067,0,200,2,1,0.79,1,11
2,79,40.77824,-73.98255,1,129,1,30,4.69,4,49
1,5,40.68417,-73.95343,0,132,30,1,0.94,1,191
1,83,40.7139,-73.9486,1,80,5,1,0.04,1,0
1,60,40.6786,-73.96694,0,175,2,25,0.43,1,2
1,5,40.68818,-73.93826,1,40,1,4,0.12,4,365
0,10,40.85585,-73.86486,1,40,5,65,1.94,2,328
1,20,40.67226,-73.92477,1,40,2,10,0.41,1,22
2,41,40.83053,-73.95048,1,94,3,2,0.08,1,0
1,73,40.66525,-73.99524,0,170,2,88,2.67,1,65
1,17,40.69432,-73.96481,0,160,14,3,0.04,1,0
2,41,40.82469,-73.94029,1,115,1,2,0.05,1,0
2,27,40.72915,-73.98501,0,200,6,19,0.32,1,0
2,25,40.78672,-73.94869,0,289,2,74,2.09,1,243
2,42,40.76464,-73.99403,1,125,1,45,1.13,1,322
3,4,40.75409,-73.76935,1,47,1,19,3.63,3,350
1,83,40.71214,-73.96866,0,170,3,21,0.53,1,0
2,81,40.85354,-73.93095,1,50,2,26,0.96,1,24
1,5,40.67955,-73.94839,1,70,30,1,0.08,4,249
2,78,40.77023,-73.95212,0,100,2,6,0.39,1,0
2,79,40.77888,-73.97967,0,100,3,7,1.04,1,52
1,83,40.71113,-73.95675,1,66,10,1,0.08,1,0
1,68,40.66429,-73.9906,0,120,5,2,0.13,2,0
1,22,40.69727,-73.98552,0,97,31,8,0.59,2,138
1,5,40.68082,-73.93599,1,90,3,39,0.67,1,0
2,27,40.72412,-73.98283,0,158,1,16,5.05,1,70
1,83,40.70723,-73.94939,1,45,1,1,0.03,1,0
2,79,40.79978,-73.96797,1,70,7,5,0.19,1,0
3,72,40.73759,-73.92127,1,39,30,3,0.31,103,251
2,52,40.7521,-73.97334,1,300,2,2,0.25,1,0
1,24,40.65422,-73.93784,0,165,1,232,5.18,4,231
2,42,40.76651,-73.98752,0,202,30,1,0.77,96,327
1,20,40.66506,-73.95177,0,185,2,6,0.79,2,2
3,64,40.70141,-73.90291,0,170,18,14,0.64,2,141
2,27,40.723,-73.98415,0,312,30,1,0.23,232,359
2,42,40.76328,-73.99347,1,160,3,3,0.06,2,0
1,30,40.64225,-73.96425,0,89,2,1,1.0,1,4
3,44,40.75625,-73.87542,0,69,6,78,1.25,1,30
1,20,40.67587,-73.96194,1,60,10,2,0.1,1,0
1,68,40.66657,-73.98725,0,190,7,2,0.04,1,0
1,45,40.64342,-73.97851,0,299,3,4,0.06,1,321
1,5,40.68491,-73.93399,1,45,6,30,2.06,1,21
2,25,40.78918,-73.94995,0,150,3,18,0.49,2,0
2,25,40.79275,-73.94191,1,60,5,1,0.03,1,0
2,41,40.83136,-73.94843,0,100,4,4,0.11,1,0
0,57,40.90175,-73.89761,1,77,2,9,0.29,2,0
2,15,40.75024,-74.00213,0,175,4,3,1.11,1,15
2,42,40.7548,-73.9948,0,175,1,27,6.59,2,133
1,12,40.69061,-73.90815,2,42,2,5,0.67,1,0
2,78,40.77467,-73.95533,0,133,30,11,0.34,5,126
1,60,40.67475,-73.96385,0,100,6,5,0.07,1,0
